,Day,Date,workoutActivityType,duration,durationUnit,distance,heartRateAverage,activeEnergyBurned,basalEnergyBurned,avg_pace_min,avg_pace_mmss
389,Thursday,2023-04-20,Walking,43.76859586636225,min,4.10941,106.16666666666667,256.538,88.9479,10.650822348308456,10:39
390,Friday,2023-04-21,Walking,44.17924691637357,min,4.11401,106.9090909090909,261.238,89.7396,10.738731047414461,10:44
391,Saturday,2023-04-22,Walking,42.94164651830991,min,4.09368,98.0,264.407,87.265,10.489741874868066,10:29
392,Saturday,2023-04-22,Cycling,38.50695403615634,min,7.41888,108.47319999999999,199.797,77.7065,5.190399903510548,5:11
393,Saturday,2023-04-22,Walking,38.37351053357124,min,2.72682,77.2921,185.671,78.0793,14.072623251102472,14:04
394,Sunday,2023-04-23,Walking,43.8284441490968,min,4.07116,99.33333333333333,254.592,88.9115,10.765591170353611,10:46
395,Monday,2023-04-24,Walking,43.08465709884961,min,4.01151,,257.456,87.5515,10.740259178925045,10:44
396,Tuesday,2023-04-25,Walking,44.07741018335025,min,4.16833,101.71428571428571,266.86,89.563,10.574357160625539,10:34
397,Wednesday,2023-04-26,Walking,44.05848439931869,min,4.14241,105.86666666666666,266.525,89.4923,10.635954528720886,10:38
398,Thursday,2023-04-27,Walking,43.64628250002861,min,4.10695,105.07142857142857,256.461,88.887,10.627419983206178,10:38
399,Friday,2023-04-28,Walking,43.73598216573397,min,4.11253,101.875,258.701,88.7756,10.63481170124813,10:38
400,Friday,2023-04-28,Walking,15.50424664616585,min,0.88314,101.46875,62.7347,30.9622,17.555819741112224,17:33
401,Friday,2023-04-28,Walking,19.16651786168416,min,1.17226,97.31818181818181,89.1934,36.2747,16.350057036565403,16:21
402,Saturday,2023-04-29,Walking,43.2635521988074,min,4.10522,98.8,268.18,87.9096,10.538668378018086,10:32
403,Saturday,2023-04-29,Walking,20.92600936690966,min,1.85093,81.8484,125.614,42.5506,11.305673022161649,11:18
404,Sunday,2023-04-30,Walking,44.65943488279979,min,4.13395,102.25,261.299,90.7795,10.803090236408229,10:48
405,Monday,2023-05-01,Cycling,56.5354488492012,min,10.6376,117.80816666666668,338.271,113.971,5.314680834887681,5:19
406,Tuesday,2023-05-02,Walking,44.12521469990413,min,4.08501,,261.281,89.616,10.801739701960125,10:48
407,Wednesday,2023-05-03,Walking,43.22564743359884,min,4.09558,,255.263,87.7312,10.554218800169656,10:33
408,Thursday,2023-05-04,Walking,43.74116763273875,min,4.09942,103.0,256.293,89.004,10.670086898326774,10:40
409,Friday,2023-05-05,Walking,42.47532474994659,min,4.12148,,266.272,86.2534,10.305842743370485,10:18
410,Friday,2023-05-05,Walking,41.95094688137372,min,2.89636,80.9626,201.079,85.0576,14.484023699185776,14:29
411,Saturday,2023-05-06,Walking,43.70708000063896,min,4.05244,,251.081,88.8511,10.785373750293394,10:47
412,Sunday,2023-05-07,Cycling,51.36148505806923,min,11.3157,106.8377,296.34,104.248,4.538957824798221,4:32
413,Monday,2023-05-08,Walking,43.9959920167923,min,4.10635,103.16666666666667,252.082,89.264,10.714135915543562,10:43
414,Tuesday,2023-05-09,Walking,43.52477499842644,min,4.15395,112.6,271.106,88.3382,10.477924625579615,10:29
415,Wednesday,2023-05-10,Walking,43.37427060008049,min,4.10883,101.875,260.69,87.9917,10.556355604899812,10:33
416,Thursday,2023-05-11,Walking,43.05543446739514,min,4.11186,105.25,262.213,87.442,10.471036092521423,10:28
417,Friday,2023-05-12,Walking,42.6655953168869,min,4.11773,114.26666666666667,263.818,86.8851,10.361435868035763,10:22
418,Saturday,2023-05-13,Walking,42.13731031616529,min,4.04421,113.0,265.715,85.5992,10.419169705867226,10:25
419,Sunday,2023-05-14,Walking,43.71959339976311,min,4.08246,91.5,265.974,88.83,10.709129642363456,10:43
420,Monday,2023-05-15,Walking,42.69170383214951,min,4.07262,94.33333333333333,261.0,86.753,10.482614099068783,10:29
421,Tuesday,2023-05-16,Walking,42.67835020025571,min,4.10571,98.0,261.462,86.8638,10.394876939738975,10:24
422,Wednesday,2023-05-17,Walking,43.23336451649666,min,4.01621,103.3076923076923,251.069,87.873,10.764717113023636,10:46
423,Thursday,2023-05-18,Walking,43.08640085061391,min,4.10335,103.46666666666667,264.248,87.5621,10.500298743859021,10:30
424,Friday,2023-05-19,Walking,48.42843886812528,min,4.63028,108.6,293.66,98.402,10.459073504869098,10:28
425,Friday,2023-05-19,Walking,24.48705779910087,min,1.94197,87.6969,135.334,49.5816,12.60939036087111,12:37
426,Saturday,2023-05-20,Walking,43.88594200015068,min,4.10316,89.0,255.26,89.0255,10.695644820126605,10:42
427,Saturday,2023-05-20,Cycling,64.49980944593747,min,11.5798,122.31457142857143,395.906,130.915,5.570027931910523,5:34
428,Sunday,2023-05-21,Walking,50.02593033313751,min,4.69616,94.16666666666667,294.134,101.649,10.652518298596622,10:39
429,Monday,2023-05-22,Walking,43.34677406748136,min,4.12391,94.5,262.827,88.057,10.51108633977981,10:31
430,Tuesday,2023-05-23,Walking,42.69050384958585,min,4.07686,107.1,258.44,86.654,10.471417671832207,10:28
431,Wednesday,2023-05-24,Walking,42.72055458426475,min,4.13794,99.0,269.203,86.841,10.324111655622058,10:19
432,Thursday,2023-05-25,Walking,47.65511583288511,min,4.58684,105.8,292.066,96.7202,10.389530882456139,10:23
433,Friday,2023-05-26,Walking,42.41295004884402,min,4.06925,96.42857142857143,248.679,85.1632,10.422792909957368,10:25
434,Saturday,2023-05-27,Walking,46.52359120051066,min,4.09156,94.7647,236.413,93.4648,11.370624211916887,11:22
435,Sunday,2023-05-28,Walking,5.121143184105555,min,0.473148,106.0,27.123,10.234,10.82355454129692,10:49
436,Sunday,2023-05-28,Cycling,52.53580742081007,min,11.2355,115.41433333333333,348.439,105.085,4.675876233439551,4:41
437,Sunday,2023-05-28,Walking,22.55968148310979,min,1.6901,89.18181818181819,117.587,45.1215,13.348134124081293,13:21
438,Monday,2023-05-29,Walking,45.98956718444824,min,4.00792,94.07692307692308,239.742,92.4233,11.474671945659653,11:28
439,Tuesday,2023-05-30,Walking,49.23988031744957,min,4.5244,92.0,274.311,98.9315,10.88318458081725,10:53
440,Wednesday,2023-05-31,Walking,48.8228125333786,min,4.63943,95.3076923076923,279.931,98.0777,10.523450625050621,10:31
441,Thursday,2023-06-01,Walking,48.7975240667661,min,4.12061,90.63636363636364,238.423,98.1564,11.842305888391792,11:51
442,Friday,2023-06-02,Walking,43.14745258490245,min,4.0803,96.75,249.34,86.775,10.574578483175857,10:34
443,Saturday,2023-06-03,Walking,41.65764601627986,min,4.22279,110.55555555555556,273.885,83.5575,9.864958005555536,9:52
444,Saturday,2023-06-03,Walking,26.81998593409856,min,2.16787,88.889,146.991,53.6997,12.371584059052692,12:22
445,Sunday,2023-06-04,Walking,26.41978523333868,min,2.52864,98.33333333333333,158.185,52.9741,10.448219293113562,10:27
446,Sunday,2023-06-04,Cycling,38.24279722372691,min,7.88801,113.391975,229.896,76.918,4.848218653846396,4:51
447,Monday,2023-06-05,Walking,43.23682406544685,min,4.00939,92.16666666666667,248.833,86.9193,10.783890832632109,10:47
448,Tuesday,2023-06-06,Walking,50.51837661663691,min,4.73335,87.83333333333333,295.76,101.43,10.672858887814531,10:40
449,Wednesday,2023-06-07,Walking,47.95228815078735,min,4.15374,93.66666666666667,244.134,96.272,11.544364392279572,11:33
450,Thursday,2023-06-08,Walking,45.51018960078557,min,4.11178,94.4,250.978,91.5267,11.068245285687846,11:04
451,Friday,2023-06-09,Walking,49.38471653262774,min,4.13701,86.4,238.195,99.0968,11.93729687204714,11:56
452,Saturday,2023-06-10,Walking,51.35649391611417,min,4.14192,82.8,234.647,103.136,12.399199867721775,12:24
453,Sunday,2023-06-11,Walking,44.70754163463911,min,4.1087,94.5,248.845,89.784,10.88118909500307,10:53
454,Sunday,2023-06-11,Cycling,40.37720111211141,min,8.02281,118.036775,243.522,81.106,5.03280036696761,5:02
455,Monday,2023-06-12,Walking,45.25857721567154,min,4.1915,95.3076923076923,255.783,90.811,10.797704214641904,10:48
456,Tuesday,2023-06-13,Walking,51.72544841766357,min,4.39156,97.84615384615384,261.163,103.773,11.778376799511692,11:47
457,Wednesday,2023-06-14,Walking,50.83290044864019,min,4.15636,,236.382,102.082,12.230148603258666,12:14
458,Thursday,2023-06-15,Walking,47.12093268434207,min,4.2566,,257.809,94.6344,11.070087084607922,11:04
459,Friday,2023-06-16,Walking,46.5533761660258,min,4.27199,92.44444444444444,256.756,93.4811,10.897351390341692,10:54
460,Saturday,2023-06-17,Walking,56.48832968274753,min,5.28984,107.16666666666667,323.027,113.529,10.678646175072883,10:41
461,Sunday,2023-06-18,Walking,54.96078185041745,min,4.89784,97.1176,290.936,110.482,11.221432682655506,11:13
462,Sunday,2023-06-18,Cycling,44.56407860120137,min,8.46108,110.30013999999998,228.78,89.6863,5.266949207571772,5:16
463,Monday,2023-06-19,Walking,55.42957034905751,min,5.24536,100.889,316.531,111.422,10.567352926978797,10:34
464,Tuesday,2023-06-20,Walking,56.21067866683006,min,5.21446,100.3076923076923,309.94,113.058,10.779769845167106,10:47
465,Wednesday,2023-06-21,Walking,55.9528512318929,min,5.24317,101.294,317.395,112.487,10.671569152229072,10:40
466,Thursday,2023-06-22,Walking,28.86875036756198,min,2.55949,84.4711,147.759,58.1143,11.279102621054188,11:17
467,Thursday,2023-06-22,Walking,32.53935033281644,min,2.84184,97.0,168.284,65.2786,11.450099348596838,11:27
468,Friday,2023-06-23,Walking,55.72346580028534,min,5.16215,96.06666666666666,312.901,111.988,10.794623519325349,10:48
469,Saturday,2023-06-24,Walking,53.87061345179875,min,5.13227,105.54545454545455,330.694,108.411,10.496449612315553,10:30
470,Saturday,2023-06-24,Cycling,42.13558374842008,min,8.44499,116.88505,234.434,84.1122,4.989417838081523,4:59
471,Sunday,2023-06-25,Walking,57.13394458293915,min,5.22537,103.0,311.523,114.779,10.933951965686479,10:56
